全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23566670,978-4-902412-36-9,,よくわかるウチナーグチ / 徳元英隆,,,"那覇 : 沖縄文化社, 2020.8",127 p ; 21 cm
23584185,978-4-902416-47-3,,"伊達宗城公御日記 : 「備忘」明治二己巳暮春より : 戊辰戦後の混乱と版籍奉還その他 / 宇和島伊達文化保存会 監修 ; 近藤俊文, 水野浩一 編纂",,宇和島伊達家叢書 ; 第8集.,"東京 : 創泉堂出版, 2021.8","6, 161, 6 p ; 21 cm"
23603584,978-4-902417-42-5,,此の世の彼岸花 : にし阿波・祖谷山と黒沢 / 永澤正好 著,,,"武蔵野 : 大河書房, 2020.12",244p ; 22cm
23603587,978-4-902417-43-2,,自然暦と環境口誦の世界 / 野本寛一 著,,,"武蔵野 : 大河書房, 2021.4",341p ; 22cm
23479719,978-4-902432-25-1,,アルゼンチン正義を求める闘いとその記録 = La lucha por Justicia y su Memoria : 性暴力を人道に対する犯罪として裁く! : 2018年10月国際シンポジウムの記録 / アクティブ・ミュージアム「女たちの戦争と平和資料館」 編,,wam book ; 2,"あきる野 : 「戦争と性」編集室, 2020.7",86p ; 21cm
23510732,978-4-902443-55-4,,ふるさとは帰ってきたか : 東日本大震災釜石・福島の10年 / 菊池和子 写真・文,,,"東京 : 遊行社, 2021.3",127 p ; 19 cm
23526464,978-4-902443-56-1,,凛々たる人生 : 志を貫いた先人の姿 / 月尾嘉男,,,"東京 : 遊行社, 2021.4",239 p ; 19 cm
23557088,978-4-902443-57-8,,ふくしまの子どもたち : 東日本大震災・福島の10年小・中学生文集 / ゆめ・ざぶん賞福島実行委員会 編集,,,"[東京] : 遊行社, 2021.5",221 p ; 21 cm
23586237,978-4-902462-26-5,,山桜 : 句集 / 竹森雅山,,,"東京 : ヌース出版, 2021.9",145 p ; 21 cm
23582318,978-4-902477-92-4,,ロジスティクス管理3級 : 過去問題 + 解説集 : 平成29年前期-令和2年後期 : 中央職業能力開発協会 (JAVADA) 「ビジネス・キャリア検定試験」 : 過去問題準拠 / 流通研究社 編,,,"東京 : 流通研究社, 2021.9",337 p ; 21 cm
23582426,978-4-902477-93-1,,ロジスティクス・オペレーション3級 : 過去問題 + 解説集 : 平成29年前期-令和2年後期 : 中央職業能力開発協会 (JAVADA) 「ビジネス・キャリア検定試験」 : 過去問題準拠 / 流通研究社 編,,,"東京 : 流通研究社, 2021.9",343 p ; 21 cm
23568578,978-4-902477-94-8,,物流DXソリューションハンドブック,,,"東京 : 流通研究社, 2021.5",220 p ; 30 cm
23482176,978-4-902477-96-2,,"物流システム改善の実務と手法 : 問題発見と全体最適化への急所 : kaizen実践ビジュアル解説 / 口脇安夫, 西本美央 著",改定版,,"東京 : 流通研究社, 2020.12",230 p ; 21 cm
23573401,978-4-902483-16-1,,第8期介護保険を手術する : 主役は、我が愛しい地域と自治体 / 安達智則,,,"東京 : 東京自治問題研究所, 2021.2",63 p ; 21 cm
23580796,978-4-902502-80-0,,最北端釧路〈北海道〉と最南端宮古島〈沖縄〉を旅する鍼灸院 / 須藤隆昭,,クナウこぞう文庫,"帯広 : クナウマガジン, 2020.10",184 p ; 15 cm
23480650,978-4-902502-82-4,,英語たのしい授業プラン集. 下 / 高橋広光,,,"清水町 (北海道) : ひみつ書房, 2020.12",262 p ; 21 cm
23594734,978-4-902519-16-7,,CDT : 紙とインキの同人誌. 3号 / 東京タイプディレクターズクラブ 編集,,,"東京 : ブックピーク, 2021.9",35 p ; 21 cm
23547285,978-4-902523-47-8,,IWIN : International Workshop on Informatics : proceedings of International Workshop on Informatics. 2020,,,"[名古屋] : Nagoya : Informatics Society ; Informatics Laboratory (発行所), [2020]","7, 201 p ; 30 cm"
23517747,978-4-902563-09-2,,おはなし会で楽しむ手ぶくろ人形 / 保育と人形の会 編著,,,"東京 : 児童図書館研究会, 2021.3",143 p ; 26 cm
23589362,978-4-902563-11-5,,子どもに定番絵本の読み聞かせを : 選書眼を育てる60冊の絵本リスト / 尾野三千代,,,"東京 : 児童図書館研究会, 2021.8",193 p ; 21 cm
23514867,978-4-902565-17-1,,にいがたマンガ大賞作品集. 第23回,,,"新潟 : にいがたマンガ大賞実行委員会, 2021.2",282 p ; 21 cm
23545348,978-4-902567-31-1,,井上幻庵因碩全集 / 大阪商業大学アミューズメント産業研究所 編集,,大阪商業大学アミューズメント研究叢書 ; 第20巻,"東大阪 : 大阪商業大学アミューズメント産業研究所, 2021.3",439 p ; 26 cm
23476084,978-4-902591-39-2,,面前DV、虐待被害者の叫び / 須賀朋子 著.,,,"[札幌] : かりん舎, 2020.6.",31p ; 21cm.
23477744,978-4-902591-41-5,,追想のユーゴスラヴィア / 田中一生 著 ; 世界史研究所 編.,,,"札幌 : かりん舎, 2020.11.",284p ; 20cm.
23570679,978-4-902591-42-2,,"サーモンピープル = Journey to the ""salmon people"" : アイヌのサケ捕獲権回復をめざして",,,"[浦幌町 (北海道)] : [留萌] : ラポロアイヌネイション ; 北大開示文書研究会, 2021.6",191 p ; 20 cm
23615444,978-4-902591-43-9,,2001ぼくがSapporoへ飛んだワケ : 札幌移転20周年記念 / 遠州まさき,,,"札幌 : かりん舎, [2021.10]",257 p ; 20 cm
23562474,978-4-902597-40-0,,農業集落排水施設のコンクリート防食の手引き. 令和2年度版,,,"東京 : 地域環境資源センター, [2020.8]","134, 118, 102 p ; 30 cm +"
23526751,978-4-902611-85-4,,社会はなぜ「現代建築」を受け入れるのか = Why do we accept contemporary architecture? / 細田雅春,,,"東京 : 日刊建設通信新聞社, 2021.3",353 p ; 20 cm
23596266,978-4-902611-86-1,,足場に流した汗と涙の人生劇場 : 国を動かしたACCESS 20年の歩み / 全国仮設安全事業協同組合創立20周年記念誌編纂委員会 編著. 物語建設職人基本法ができるまで / 小野田正好,,,"東京 : 日刊建設通信新聞社, 2021.6","429, 112 p ; 20 cm"
23587904,978-4-902611-87-8,,建設人ハンドブック : 建築・土木界の時事解説. 2022年版,,,"東京 : 日刊建設通信新聞社, 2021.9",196 p ; 18 cm
